;-8,600;-48,936;26,777;79,000
;-8,327;-48,936;26,777;79,000
;-8,070;-48,936;26,777;79,000
;-7,844;-48,936;26,777;79,000
;-7,657;-48,936;26,777;79,000
;-7,501;-48,936;26,777;79,000
;-7,360;-48,936;26,777;79,000
;-7,212;-48,936;26,777;79,000
;-7,111;-48,936;26,777;79,000
;-6,955;-48,936;26,777;79,000
;-6,822;-48,936;26,777;79,000
;-6,705;-48,936;26,777;79,000
;-6,565;-48,936;26,777;79,000
;-6,448;-48,936;26,765;79,000
;-6,346;-48,936;26,777;79,000
;-6,175;-48,936;26,777;79,000
;-6,042;-48,936;26,765;79,000
;-5,886;-48,936;26,765;79,000
;-5,753;-48,936;26,765;79,000
;-5,605;-48,936;26,765;79,000
;-5,465;-48,936;26,765;79,000
;-5,278;-48,936;26,765;79,000
;-5,075;-48,936;26,765;79,000
;-4,888;-48,936;26,765;79,000
;-4,810;-48,936;26,765;79,000
;-4,763;-48,936;26,765;79,000
;-4,654;-48,936;26,765;79,000
;-4,474;-48,936;26,765;79,000
;-4,334;-48,936;26,765;79,000
;-4,154;-48,936;26,765;79,000
;-3,967;-48,936;26,765;79,000
;-3,819;-48,936;26,765;79,000
;-3,702;-48,936;26,765;79,000
;-3,616;-48,936;26,765;79,000
;-3,499;-48,936;26,765;79,000
;-3,390;-48,936;26,765;79,000
;-3,296;-48,936;26,765;79,000
;-3,195;-48,936;26,765;79,000
;-3,094;-48,936;26,765;79,000
;-2,969;-48,936;26,765;79,000
;-2,883;-48,936;26,765;79,000
;-2,828;-48,936;26,765;79,000
;-2,789;-48,936;26,765;79,000
;-2,750;-48,936;26,765;79,000
;-2,774;-48,936;26,765;79,000
;-2,821;-48,936;26,765;79,000
;-2,860;-48,936;26,765;79,000
;-2,977;-48,936;26,765;79,000
;-3,094;-48,936;26,765;79,000
;-3,328;-48,936;26,765;79,000
;-3,569;-48,936;26,765;79,000
;-3,710;-48,936;26,765;79,000
;-3,866;-48,936;26,765;79,000
;-3,998;-48,936;26,765;79,000
;-4,123;-48,936;26,765;80,000
;-4,240;-48,936;26,765;80,000
;-4,388;-48,936;26,765;80,000
;-4,521;-48,936;26,765;80,000
;-4,646;-48,936;26,765;80,000
;-4,771;-48,936;26,765;80,000
;-4,895;-48,936;26,765;80,000
;-4,989;-48,936;26,765;80,000
;-5,083;-48,936;26,765;80,000
;-5,137;-48,936;26,765;80,000
;-5,262;-48,936;26,765;80,000
;-5,317;-48,936;26,765;80,000
;-5,387;-48,936;26,765;80,000
;-5,473;-48,936;26,777;80,000
;-5,543;-48,936;26,777;80,000
;-5,574;-48,936;26,765;80,000
;-5,636;-48,936;26,765;80,000
;-5,636;-48,936;26,765;80,000
;-5,683;-48,936;26,765;80,000
;-5,769;-48,936;26,777;80,000
;-5,902;-48,936;26,765;80,000
;-5,972;-48,936;26,765;80,000
;-6,065;-48,936;26,765;80,000
;-6,081;-48,936;26,777;80,000
;-6,104;-48,936;26,765;80,000
;-6,097;-48,936;26,777;80,000
;-6,089;-48,936;26,777;80,000
;-6,120;-48,936;26,765;80,000
;-6,128;-48,936;26,765;80,000
;-6,167;-48,936;26,765;80,000
;-6,182;-48,936;26,765;80,000
;-6,190;-48,936;26,765;80,000
;-6,229;-48,936;26,765;80,000
;-6,237;-48,936;26,765;80,000
;-6,214;-48,936;26,765;80,000
;-6,229;-48,936;26,765;80,000
;-6,253;-48,936;26,765;80,000
;-6,221;-48,936;26,765;80,000
;-6,237;-48,936;26,765;80,000
;-6,253;-48,936;26,765;80,000
;-6,237;-48,936;26,765;80,000
;-6,229;-48,936;26,765;80,000
;-6,175;-48,936;26,752;80,000
;-6,182;-48,936;26,752;80,000
;-6,268;-48,936;26,752;80,000
;-6,354;-48,936;26,752;80,000
;-6,409;-48,936;26,752;80,000
;-6,409;-48,936;26,752;80,000
;-6,424;-48,936;26,740;80,000
;-6,432;-48,936;26,752;80,000
;-6,385;-48,936;26,752;80,000
;-6,385;-48,936;26,740;80,000
;-6,409;-48,936;26,740;80,000
;-6,409;-48,936;26,752;80,000
;-6,401;-48,936;26,740;80,000
;-6,393;-48,936;26,740;80,000
;-6,409;-48,936;26,740;80,000
;-6,377;-48,936;26,740;80,000
;-6,385;-48,936;26,740;80,000
;-6,362;-48,936;26,740;80,000
;-6,377;-48,936;26,740;80,000
;-6,370;-48,936;26,740;80,000
;-6,346;-48,936;26,740;80,000
;-6,346;-48,936;26,740;80,000
;-6,338;-48,936;26,740;80,000
;-6,370;-48,936;26,740;80,000
;-6,338;-48,936;26,740;80,000
;-6,284;-48,936;26,740;80,000
;-6,245;-48,936;26,740;80,000
;-6,315;-48,936;26,740;80,000
;-6,385;-48,936;26,740;80,000
;-6,432;-48,936;26,740;80,000
;-6,518;-48,936;26,740;80,000
;-6,471;-48,936;26,740;80,000
;-6,502;-48,936;26,740;78,000
;-6,471;-48,936;26,740;78,000
;-6,440;-48,936;26,740;78,000
;-6,432;-48,936;26,740;78,000
;-6,432;-48,936;26,740;78,000
;-6,448;-48,936;26,740;78,000
;-6,370;-48,936;26,740;78,000
;-6,299;-48,936;26,740;78,000
;-6,245;-48,936;26,740;78,000
;-6,182;-48,936;26,740;78,000
;-6,112;-48,936;26,740;78,000
;-6,034;-48,936;26,740;78,000
;-5,956;-48,936;26,740;78,000
;-5,878;-48,936;26,727;78,000
;-5,808;-48,936;26,740;78,000
;-5,675;-48,936;26,740;78,000
;-5,590;-48,936;26,727;78,000
;-5,488;-48,936;26,740;78,000
;-5,387;-48,936;26,727;78,000
;-5,223;-48,936;26,740;78,000
;-5,075;-48,936;26,740;78,000
;-5,005;-48,936;26,727;78,000
;-5,005;-48,936;26,740;78,000
;-4,927;-48,936;26,727;78,000
;-4,817;-48,936;26,740;78,000
;-4,685;-48,936;26,727;78,000
;-4,529;-48,936;26,740;76,000
;-4,388;-48,936;26,740;76,000
;-4,186;-48,936;26,727;76,000
;-4,069;-48,936;26,727;76,000
;-3,928;-48,936;26,727;76,000
;-3,780;-48,936;26,740;76,000
;-3,624;-48,936;26,727;76,000
;-3,523;-48,936;26,727;76,000
;-3,382;-48,936;26,727;76,000
;-3,273;-48,936;26,727;76,000
;-3,125;-48,936;26,727;76,000
